2026-07-18 23:12:22 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-18 23:18:41 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-18 23:19:24 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-18 23:22:37 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-18 23:37:17 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-19 02:45:35 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-19 02:45:50 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 00:02:32 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 00:05:43 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 00:05:44 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 00:05:44 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 17:51:31 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 17:54:13 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:03:10 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:04:51 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:05:22 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:16:44 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:18:56 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:25:44 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
2026-07-20 18:29:31 | INFO | usuario=242627e8-67e4-4aec-8ecb-8d887b0208b3 | ip=::1 | modulo=admin | accion=admin_panel_access | Acceso exitoso al panel administrativo
